child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
6216,2140,,2140,BOTANY BAY,BOTANY BAY,13,X,C,V,USD,"Ex Pontremoli. Delivered on 28/7/16 1700 LT, 0900 GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
6218,2031,,2031,CSAV TRANCURA,CSAV TRANCURA,13,X,C,V,USD,DAEWOO HULL 4093 - Delivered fm yard on 20/12/13,1,1,USD,,Y,Y,Y,0,,,,,,,,
6223,2177,,2177,HULL S995,HULL S995,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6452,2074,,2074,MSC EMMA,MSC EMMA,13,X,C,V,USD,"Ex CMA CGM Enfield, Name change to Maersk Enfield on 31/10/14, thereafter change to MSC Emma on 17/3/18",1,1,USD,,Y,Y,Y,0,,,,,,,,
6462,2073,,2073,MSC ELISA,MSC ELISA,13,X,C,V,USD,"Name chg to MSC Elisa on 20/5/18, name chg fm CMA CGM Effingham to Maersk Effingham on 4/10/14. Spore Reg Co",1,1,USD,,Y,Y,Y,0,,,,,,,,
6472,2154,,2154,ACX PEARL,ACX PEARL,13,X,C,V,USD,Est Delivery - 19 Sep 18 / 18 Oct 18,1,1,USD,,Y,Y,Y,0,,,,,,,,
6473,2153,,2153,NYK MARIA,NYK MARIA,13,X,C,V,USD,"Delivered on 25/4/18 1608 hr LT, 2308 hr GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
6474,2151,,2151,NYK DENEB,NYK DENEB,13,X,C,V,USD,Est Delivery - 29 Dec 17 / 28 Jan 18,1,1,USD,,Y,Y,Y,0,,,,,,,,
6475,2152,,2152,NYK DELPHINUS,NYK DELPHINUS,13,X,C,V,USD,Delivered on 23/1/18 1400 LT 0500 GMT,1,1,USD,,Y,Y,Y,0,,,,,,,,
6476,2155,,2155,NYK THEMIS,NYK THEMIS,13,X,C,V,USD,Est Delivery - 15 Oct 18 / 14 Nov 18,1,1,USD,,Y,Y,Y,0,,,,,,,,
8001,13,EPS,13,EPS,Eastern Pacific Shipping Pte Ltd,13,S,C,S,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
5501,2117,,2117,MOUNT DAMPIER,MOUNT DAMPIER,13,W,C,V,USD,"Name chg fm Cape Raptor on 30/6/15, EX FRONTIER OASIS, BB charter in (Capesize Bulker), Delivered on 9/9/14",1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2102,,2102,MOUNT HEDLAND,MOUNT HEDLAND,13,W,C,V,USD,"Name chg fm Cape Peregrine to Mount Hedland wef 29/7/15. Ex Sanko Power, vsl delivered on 29/1/14",1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2116,,2116,MOUNT FABER,MOUNT FABER,13,W,C,V,USD,"Ex Cape Pelican (name chg to Mount Faber wef 30/4/15). Ex Ocean Comet, delivered 8/8/14,BB cht in(Capesize Bulker)",1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2051,,2051,MOUNT KINABALU,MOUNT KINABALU,13,W,C,V,USD,"Name chg fm Cape Albatross to Mount Kinabalu on 4/9/15, vsl redelivered fm TC & simultaneously delived into BB Chtr in ",1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2089,,2089,LAKE FUXIAN,LAKE FUXIAN,13,W,C,V,USD,Ex CSAV Rio Grey. Name change to Lake Fuxian on 9/8/16,1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2033,,2033,LAKE GENEVA,LAKE GENEVA,13,W,C,V,USD,Ex Imabari S-1601. Delivered fm shipyard & simultaneously sold & del into bb chtr back to Ppl in Imabari S/Y on 27/1/15,1,1,USD,,Y,Y,Y,0,,,,,,,,
8001,14,OFFICE,14,*FOSI Vsls-dont ,FIRST OMEGA SHIPPING INC.-don't use,12,M,C,M,USD,,1,2,USD,,Y,Y,N,0,,,,,,,,
